politicalparty,income,educ,abortion,republican
Democrat,2150,7,0,0
Democrat,2107,6,0,0
Democrat,1064,5,0,0
Democrat,1940,9,0,0
Republican,670,21,0,1
Democrat,888,5,0,0
Democrat,375,14,0,0
Democrat,1778,8,0,0
Democrat,1813,8,0,0
Republican,1008,11,0,1
Republican,1222,7,0,1
Republican,781,14,0,1
Democrat,284,7,0,0
Republican,1301,21,0,1
Republican,1661,5,0,1
Republican,305,9,0,1
Democrat,1894,5,0,0
Republican,1677,5,0,1
Democrat,552,9,0,0
Democrat,1586,20,0,0
Republican,857,7,0,1
Democrat,395,5,0,0
Republican,993,20,0,1
Republican,499,5,0,1
Republican,1834,9,0,1
Republican,1602,5,0,1
Republican,674,4,0,1
Democrat,2296,3,0,0
Republican,1946,9,0,1
Democrat,1381,5,0,0
Democrat,197,3,0,0
Republican,1,5,0,1
Democrat,759,5,0,0
Democrat,1105,7,0,0
Republican,2175,5,0,1
Democrat,2223,6,0,0
Republican,1880,21,0,1
Democrat,1043,5,0,0
Republican,2045,9,0,1
Republican,843,5,0,1
Democrat,1359,9,0,0
Republican,2308,3,0,1
Republican,1,3,0,1
Republican,1907,9,0,1
Republican,1698,5,0,1
Democrat,1746,21,0,0
Republican,1,5,0,1
Republican,1534,6,0,1
Democrat,805,4,0,0
Republican,1956,9,0,1
Republican,1,7,0,1
Republican,1833,5,0,1
Republican,418,5,0,1
Republican,469,6,0,1
Democrat,1,5,0,0
Democrat,1453,5,0,0
Republican,433,7,0,1
Democrat,36,4,0,0
Democrat,2204,3,0,0
Democrat,474,3,0,0
Democrat,426,11,0,0
Democrat,494,5,0,0
Democrat,338,5,0,0
Democrat,460,5,0,0
Republican,1052,20,0,1
Democrat,1116,5,0,0
Republican,1922,11,0,1
Republican,2262,12,0,1
Democrat,1435,6,0,0
Democrat,491,3,0,0
Democrat,1478,20,0,0
Republican,1135,9,0,1
Republican,464,20,0,1
Democrat,2219,5,0,0
Republican,439,7,0,1
Democrat,2069,4,0,0
Democrat,1992,4,0,0
Democrat,994,7,0,0
Republican,1,3,0,1
Republican,746,5,0,1
Democrat,2020,9,0,0
Republican,540,8,0,1
Republican,409,6,0,1
Republican,1804,7,0,1
Republican,1632,5,0,1
Democrat,931,6,0,0
Democrat,1838,6,0,0
Republican,1166,5,0,1
Republican,1524,9,0,1
Republican,1881,9,0,1
Republican,1658,9,0,1
Democrat,956,3,0,0
Republican,1979,7,0,1
Republican,603,7,0,1
Republican,1604,5,0,1
Republican,1681,5,0,1
Republican,1238,5,0,1
Democrat,2008,3,0,0
Democrat,1656,4,0,0
Republican,1923,5,0,1
Republican,1387,5,0,1
Democrat,1038,14,0,0
Republican,640,6,0,1
Democrat,1775,9,0,0
Democrat,778,5,0,0
Republican,1770,7,0,1
Democrat,898,20,0,0
Democrat,609,11,0,0
Democrat,2235,4,0,0
Republican,1,5,0,1
Democrat,776,9,0,0
Republican,2041,14,0,1
Democrat,584,5,0,0
Republican,839,7,0,1
Democrat,2130,5,0,0
Democrat,489,3,0,0
Republican,1752,9,0,1
Republican,2273,4,0,1
Democrat,373,5,0,0
Republican,273,7,0,1
Democrat,2161,7,0,0
Democrat,1693,5,0,0
Democrat,771,7,0,0
Republican,56,9,0,1
Republican,66,9,0,1
Republican,574,8,0,1
Democrat,72,9,0,0
Republican,567,7,0,1
Republican,1117,12,0,1
Republican,884,7,0,1
Democrat,767,5,0,0
Republican,2119,9,0,1
Republican,2061,9,0,1
Republican,1333,5,0,1
Republican,336,6,0,1
Democrat,1441,9,0,0
Republican,1341,9,0,1
Democrat,2314,5,0,0
Democrat,1412,7,0,0
Republican,1761,7,0,1
Democrat,1763,5,0,0
Democrat,789,5,0,0
Republican,1230,4,0,1
Republican,272,4,0,1
Republican,1045,8,0,1
Republican,466,7,0,1
Democrat,353,5,0,0
Democrat,1349,6,0,0
Republican,757,5,0,1
Democrat,1287,5,0,0
Democrat,1231,5,0,0
Democrat,2114,5,0,0
Democrat,2080,21,0,0
Democrat,528,6,0,0
Republican,1202,5,0,1
Republican,942,10,0,1
Democrat,817,9,0,0
Democrat,287,9,0,0
Republican,102,10,0,1
Republican,369,7,0,1
Republican,2275,7,0,1
Republican,467,9,0,1
Democrat,2094,9,0,0
Democrat,200,5,0,0
Democrat,1386,7,0,0
Democrat,691,21,0,0
Republican,638,12,0,1
Democrat,1452,9,0,0
Republican,1254,3,0,1
Democrat,1390,9,0,0
Republican,1,5,0,1
Republican,193,6,0,1
Republican,620,5,0,1
Republican,2215,6,0,1
Republican,334,5,0,1
Democrat,604,11,0,0
Republican,2178,5,0,1
Democrat,181,3,0,0
Republican,646,5,0,1
Republican,1494,4,0,1
Republican,2063,11,0,1
Republican,987,6,0,1
Republican,1800,9,0,1
Republican,1913,9,0,1
Republican,1856,7,0,1
Republican,665,5,0,1
Republican,1,5,0,1
Republican,1531,7,0,1
Republican,383,5,0,1
Republican,2244,9,0,1
Democrat,264,5,0,0
Republican,249,11,0,1
Republican,423,6,0,1
Republican,108,11,0,1
Republican,1794,5,0,1
Democrat,664,9,0,0
Democrat,896,10,0,0
Republican,862,5,0,1
Democrat,1,5,0,0
Republican,1192,7,0,1
Republican,673,5,0,1
Democrat,877,7,0,0
Democrat,2026,5,0,0
Republican,802,5,0,1
Democrat,1067,4,0,0
Republican,361,9,0,1
Republican,1410,5,0,1
Republican,1903,21,0,1
Republican,1841,8,0,1
Democrat,535,11,0,0
Democrat,1944,3,0,0
Republican,203,7,0,1
Democrat,600,10,0,0
Democrat,2056,5,0,0
Republican,831,5,0,1
Democrat,377,8,0,0
Republican,394,9,0,1
Democrat,623,4,0,0
Democrat,1932,9,0,0
Democrat,1039,11,0,0
Democrat,1265,18,0,0
Republican,1325,5,0,1
Republican,1019,5,0,1
Democrat,1872,5,0,0
Democrat,1297,6,0,0
Republican,764,9,0,1
Republican,1416,14,0,1
Republican,62,4,0,1
Republican,85,4,0,1
Democrat,712,4,0,0
Democrat,2180,19,0,0
Democrat,117,17,0,0
Republican,1429,7,0,1
Republican,2214,5,0,1
Democrat,841,8,0,0
Republican,465,10,0,1
Democrat,1736,21,0,0
Republican,1721,1,0,1
Republican,1388,8,0,1
Democrat,1352,11,0,0
Republican,1998,5,0,1
Democrat,1,7,0,0
Democrat,1031,20,0,0
Republican,2170,8,0,1
Democrat,1014,5,0,0
Democrat,135,5,0,0
Democrat,647,21,0,0
Democrat,1875,6,0,0
Democrat,650,5,0,0
Republican,921,8,0,1
Republican,23,6,0,1
Republican,606,5,0,1
Republican,1507,6,0,1
Democrat,1078,5,0,0
Democrat,316,5,0,0
Democrat,1,9,0,0
Republican,1806,7,0,1
Republican,878,7,0,1
Democrat,279,16,0,0
Democrat,391,18,0,0
Democrat,286,6,0,0
Republican,824,4,0,1
Republican,1466,5,0,1
Republican,205,7,0,1
Republican,1831,9,0,1
Republican,1819,6,0,1
Democrat,1271,8,0,0
Republican,1765,9,0,1
Republican,2268,5,0,1
Republican,1,5,0,1
Republican,329,5,0,1
Democrat,2086,9,0,0
Democrat,630,14,0,0
Republican,917,5,0,1
Republican,969,5,0,1
Democrat,1817,15,0,0
Democrat,233,3,0,0
Republican,413,4,0,1
Republican,442,6,0,1
Republican,653,5,0,1
Republican,453,8,0,1
Democrat,238,21,0,0
Republican,1126,9,0,1
Republican,1545,8,0,1
Democrat,1270,5,0,0
Republican,911,7,0,1
Republican,1548,5,0,1
Republican,1161,9,0,1
Democrat,276,4,0,0
Republican,1605,8,0,1
Republican,1366,5,0,1
Democrat,190,3,0,0
Republican,846,5,0,1
Democrat,1296,20,0,0
Republican,67,9,0,1
Republican,1226,9,0,1
Republican,1021,14,0,1
Republican,2134,5,0,1
Democrat,1696,9,0,0
Republican,2006,5,0,1
Republican,752,5,0,1
Republican,1700,5,0,1
Democrat,1140,5,0,0
Democrat,660,6,0,0
Republican,240,5,0,1
Republican,772,8,0,1
Republican,569,9,0,1
Republican,1584,11,0,1
Democrat,1370,5,0,0
Democrat,976,3,0,0
Democrat,74,5,0,0
Republican,721,5,0,1
Democrat,2144,20,0,0
Republican,1020,9,0,1
Democrat,2110,9,0,0
Republican,1967,5,0,1
Republican,1563,8,0,1
Republican,601,6,0,1
Republican,1771,20,0,1
Republican,2160,5,0,1
Republican,1334,14,0,1
Democrat,1802,7,0,0
Republican,1378,9,0,1
Republican,1205,6,0,1
Democrat,1748,6,0,0
Democrat,1572,7,0,0
Republican,1549,5,0,1
Democrat,328,5,0,0
Republican,371,9,0,1
Democrat,1798,4,0,0
Republican,747,5,0,1
Republican,2230,5,0,1
Republican,1006,9,0,1
Republican,2104,5,0,1
Democrat,506,4,0,0
Democrat,1364,5,0,0
Democrat,1974,10,0,0
Democrat,788,5,0,0
Democrat,1173,6,0,0
Republican,1406,9,0,1
Republican,1058,10,0,1
Democrat,1864,7,0,0
Democrat,661,5,0,0
Democrat,1688,7,0,0
Republican,1313,5,0,1
Republican,1702,9,0,1
Democrat,312,5,0,0
Republican,1792,6,0,1
Democrat,1935,9,0,0
Democrat,227,6,0,0
Republican,1475,7,0,1
Republican,1138,5,0,1
Democrat,1210,21,0,0
Republican,1083,4,0,1
Democrat,1927,5,0,0
Republican,634,9,0,1
Republican,1415,5,0,1
Democrat,1,5,0,0
Democrat,2135,3,0,0
Republican,1,7,0,1
Democrat,1403,21,0,0
Republican,385,5,0,1
Democrat,1,21,0,0
Democrat,1026,9,0,0
Republican,292,5,0,1
Democrat,2231,3,0,0
Democrat,1177,4,0,0
Democrat,1818,5,0,0
Democrat,145,20,0,0
Democrat,1209,5,0,0
Democrat,400,7,0,0
Democrat,484,6,0,0
Republican,1476,7,0,1
Republican,461,5,0,1
Republican,2140,5,0,1
Republican,519,9,0,1
Republican,1502,7,0,1
Democrat,208,11,0,0
Democrat,1131,5,0,0
Democrat,933,11,0,0
Democrat,231,21,0,0
Democrat,1744,5,0,0
Republican,236,6,0,1
Democrat,1455,4,0,0
Democrat,1608,4,0,0
Republican,285,7,0,1
Republican,1,5,0,1
Republican,440,7,0,1
Democrat,1845,5,0,0
Republican,1273,4,0,1
Republican,682,3,0,1
Democrat,2306,7,0,0
Democrat,202,7,0,0
Republican,1282,11,0,1
Republican,454,5,0,1
Republican,1640,7,0,1
Republican,2113,5,0,1
Republican,1620,9,1,1
Republican,149,10,1,1
Democrat,2032,4,1,0
Democrat,1157,20,1,0
Democrat,420,8,1,0
Democrat,243,8,1,0
Democrat,981,9,1,0
Democrat,1625,9,1,0
Republican,1,10,1,1
Republican,753,7,1,1
Democrat,557,5,1,0
Democrat,1810,8,1,0
Democrat,1970,9,1,0
Democrat,1669,10,1,0
Republican,1571,8,1,1
Democrat,1773,11,1,0
Democrat,2185,9,1,0
Democrat,91,9,1,0
Democrat,178,14,1,0
Democrat,1580,9,1,0
Democrat,187,9,1,0
Republican,2292,9,1,1
Republican,984,9,1,1
Republican,582,5,1,1
Democrat,656,14,1,0
Democrat,562,14,1,0
Democrat,633,9,1,0
Democrat,2189,9,1,0
Democrat,113,18,1,0
Democrat,2226,9,1,0
Democrat,941,7,1,0
Republican,1,10,1,1
Democrat,2103,5,1,0
Democrat,666,5,1,0
Democrat,2192,9,1,0
Republican,1899,14,1,1
Democrat,2210,9,1,0
Democrat,1483,9,1,0
Democrat,132,9,1,0
Democrat,875,7,1,0
Democrat,1954,8,1,0
Republican,121,14,1,1
Democrat,1275,6,1,0
Democrat,1672,7,1,0
Democrat,1213,11,1,0
Democrat,823,14,1,0
Republican,2237,14,1,1
Democrat,2212,14,1,0
Democrat,1902,10,1,0
Democrat,1609,11,1,0
Democrat,1,14,1,0
Republican,1980,7,1,1
Democrat,1356,3,1,0
Democrat,1684,11,1,0
Democrat,2076,5,1,0
Democrat,1793,9,1,0
Democrat,957,14,1,0
Republican,1646,7,1,1
Republican,1611,10,1,1
Democrat,2199,9,1,0
Democrat,585,7,1,0
Democrat,1405,9,1,0
Democrat,1048,9,1,0
Democrat,1335,9,1,0
Republican,1,14,1,1
Democrat,711,9,1,0
Democrat,892,7,1,0
Democrat,447,10,1,0
Democrat,2082,5,1,0
Democrat,1874,7,1,0
Democrat,2232,9,1,0
Democrat,18,9,1,0
Democrat,115,9,1,0
Republican,2091,5,1,1
Republican,1,9,1,1
Democrat,663,7,1,0
Republican,607,5,1,1
Democrat,1844,4,1,0
Democrat,785,5,1,0
Democrat,902,6,1,0
Democrat,2089,7,1,0
Democrat,1097,12,1,0
Democrat,379,12,1,0
Democrat,1908,5,1,0
Republican,1,5,1,1
Republican,546,12,1,1
Democrat,564,9,1,0
Democrat,1419,9,1,0
Democrat,704,12,1,0
Democrat,737,8,1,0
Democrat,1168,14,1,0
Democrat,212,4,1,0
Democrat,2158,10,1,0
Democrat,1154,8,1,0
Democrat,1891,12,1,0
Democrat,964,3,1,0
Republican,1123,11,1,1
Democrat,570,11,1,0
Democrat,1782,14,1,0
Democrat,790,6,1,0
Democrat,1853,9,1,0
Republican,1290,5,1,1
Democrat,462,5,1,0
Democrat,1268,10,1,0
Democrat,204,14,1,0
Republican,17,9,1,1
Democrat,1825,8,1,0
Republican,2274,5,1,1
Democrat,321,6,1,0
Republican,1896,14,1,1
Democrat,2284,8,1,0
Democrat,324,4,1,0
Democrat,1351,5,1,0
Democrat,1442,7,1,0
Democrat,1801,9,1,0
Democrat,470,5,1,0
Democrat,2288,9,1,0
Democrat,275,12,1,0
Democrat,1982,9,1,0
Democrat,234,14,1,0
Republican,1639,14,1,1
Democrat,2145,4,1,0
Republican,2177,4,1,1
Republican,690,11,1,1
Republican,2116,5,1,1
Democrat,996,9,1,0
Democrat,989,9,1,0
Democrat,761,9,1,0
Democrat,1249,14,1,0
Democrat,29,14,1,0
Democrat,2289,10,1,0
Democrat,1,10,1,0
Democrat,2309,9,1,0
Democrat,1,12,1,0
Democrat,828,14,1,0
Democrat,1395,9,1,0
Democrat,2164,5,1,0
Republican,550,11,1,1
Democrat,1655,5,1,0
Democrat,2196,9,1,0
Democrat,1147,19,1,0
Democrat,1713,10,1,0
Democrat,717,7,1,0
Republican,958,7,1,1
Democrat,2035,6,1,0
Democrat,374,10,1,0
Democrat,792,9,1,0
Democrat,639,11,1,0
Democrat,1,9,1,0
Democrat,1918,9,1,0
Democrat,31,11,1,0
Democrat,1589,11,1,0
Democrat,1916,5,1,0
Democrat,1458,5,1,0
Democrat,428,12,1,0
Republican,629,11,1,1
Democrat,116,9,1,0
Republican,30,9,1,1
Democrat,1,8,1,0
Democrat,1391,6,1,0
Democrat,1762,6,1,0
Democrat,445,9,1,0
Democrat,2038,7,1,0
Democrat,1225,5,1,0
Democrat,1977,10,1,0
Democrat,1121,4,1,0
Democrat,1090,10,1,0
Democrat,1685,9,1,0
Democrat,213,14,1,0
Democrat,259,9,1,0
Republican,1125,9,1,1
Democrat,2211,11,1,0
Democrat,1,10,1,0
Democrat,659,9,1,0
Republican,219,9,1,1
Democrat,138,9,1,0
Democrat,738,5,1,0
Republican,1104,9,1,1
Democrat,1578,7,1,0
Democrat,100,6,1,0
Democrat,991,10,1,0
Republican,2195,5,1,1
Democrat,1397,9,1,0
Democrat,1576,14,1,0
Democrat,822,9,1,0
Republican,1,5,1,1
Democrat,2049,9,1,0
Democrat,2238,9,1,0
Republican,11,9,1,1
Republican,137,5,1,1
Republican,1,7,1,1
Democrat,1814,7,1,0
Democrat,696,6,1,0
Democrat,1,3,1,0
Democrat,2031,7,1,0
Democrat,1741,4,1,0
Democrat,1599,6,1,0
Democrat,1182,10,1,0
Democrat,521,5,1,0
Democrat,362,12,1,0
Democrat,331,6,1,0
Democrat,844,7,1,0
Democrat,852,5,1,0
Republican,1371,6,1,1
Democrat,1863,7,1,0
Democrat,169,11,1,0
Republican,1951,7,1,1
Democrat,1637,14,1,0
Republican,1703,4,1,1
Republican,451,8,1,1
Democrat,1965,5,1,0
Democrat,2252,5,1,0
Democrat,194,8,1,0
Democrat,2155,11,1,0
Republican,476,11,1,1
Democrat,1448,9,1,0
Republican,2062,9,1,1
Democrat,1427,14,1,0
Republican,1912,5,1,1
Democrat,1593,11,1,0
Democrat,1870,5,1,0
Democrat,1348,5,1,0
Democrat,2125,5,1,0
Democrat,45,5,1,0
Democrat,123,5,1,0
Democrat,1876,14,1,0
Democrat,1,6,1,0
Republican,490,6,1,1
Republican,2228,5,1,1
Democrat,625,14,1,0
Democrat,1471,6,1,0
Democrat,1753,4,1,0
Democrat,1673,9,1,0
Republican,566,6,1,1
Democrat,893,5,1,0
Republican,1095,12,1,1
Democrat,366,9,1,0
Democrat,2302,5,1,0
Democrat,652,5,1,0
Democrat,975,5,1,0
Republican,1280,20,1,1
Democrat,1106,7,1,0
Democrat,880,9,1,0
Democrat,162,6,1,0
Democrat,1,7,1,0
Democrat,2101,9,1,0
Democrat,1084,7,1,0
Democrat,1728,9,1,0
Republican,1264,10,1,1
Democrat,2181,9,1,0
Democrat,1877,11,1,0
Republican,351,5,1,1
Democrat,63,9,1,0
Democrat,1671,18,1,0
Democrat,2243,5,1,0
Democrat,1469,12,1,0
Democrat,1256,12,1,0
Democrat,168,11,1,0
Republican,1900,14,1,1
Republican,2096,9,1,1
Republican,183,7,1,1
Republican,372,5,1,1
Democrat,1566,9,1,0
Democrat,758,10,1,0
Democrat,307,20,1,0
Democrat,2142,12,1,0
Republican,1032,5,1,1
Democrat,1407,5,1,0
Republican,347,7,1,1
Democrat,267,6,1,0
Democrat,2059,7,1,0
Democrat,1971,11,1,0
Democrat,796,9,1,0
Republican,1811,9,1,1
Republican,2071,5,1,1
Democrat,2173,9,1,0
Democrat,745,9,1,0
Democrat,1307,9,1,0
Republican,119,11,1,1
Republican,2250,9,1,1
Democrat,1460,8,1,0
Republican,401,5,1,1
Republican,175,9,1,1
Democrat,1821,7,1,0
Democrat,1263,5,1,0
Democrat,1945,9,1,0
Democrat,622,4,1,0
Republican,1717,6,1,1
Republican,141,8,1,1
Democrat,602,6,1,0
Democrat,1,21,1,0
Democrat,388,6,1,0
Republican,21,5,1,1
Democrat,2117,8,1,0
Democrat,2218,5,1,0
Democrat,1633,7,1,0
Democrat,131,14,1,0
Democrat,1063,4,1,0
Republican,2005,11,1,1
Democrat,1,9,1,0
Democrat,2052,11,1,0
Democrat,1384,6,1,0
Democrat,488,9,1,0
Democrat,590,5,1,0
Republican,1,5,1,1
Democrat,972,9,1,0
Democrat,424,8,1,0
Democrat,421,9,1,0
Democrat,580,7,1,0
Republican,1957,9,1,1
Democrat,1,5,1,0
Democrat,1,9,1,0
Democrat,1216,9,1,0
Republican,1540,6,1,1
Democrat,1695,7,1,0
Democrat,1012,9,1,0
Republican,833,7,1,1
Democrat,1110,7,1,0
Democrat,850,9,1,0
Republican,1577,6,1,1
Republican,1521,11,1,1
Democrat,851,5,1,0
Democrat,518,9,1,0
Democrat,173,6,1,0
Democrat,449,12,1,0
Democrat,2124,7,1,0
Republican,615,5,1,1
Democrat,1678,9,1,0
Democrat,770,7,1,0
Democrat,895,9,1,0
Democrat,914,7,1,0
Democrat,1080,7,1,0
Democrat,1399,11,1,0
Republican,786,3,1,1
Republican,1061,14,1,1
Democrat,1686,6,1,0
Democrat,1426,4,1,0
Democrat,773,5,1,0
Republican,1651,5,1,1
Democrat,1926,9,1,0
Democrat,468,14,1,0
Republican,89,14,1,1
Democrat,594,5,1,0
Democrat,1482,8,1,0
Republican,1659,9,1,1
Democrat,681,5,1,0
Democrat,1797,8,1,0
Democrat,618,8,1,0
Democrat,15,3,1,0
Democrat,1259,5,1,0
Democrat,520,7,1,0
Democrat,1443,5,1,0
Democrat,1565,5,1,0
Republican,1276,7,1,1
